Link,Point Order,Sub Polygon Id,Usa2163 Id,Distance,Latitude,Longitude,New Latitude,New Longitude,Number of Records,Origin Latitude,Origin Longitude
link,1,28,5,969.263837570,25.2783,-81.0517,25.2783,-81.0517,1,39,-84.51
link,2,28,5,969.470863212,25.274,-81.0587,25.274,-81.0587,1,39,-84.51
link,3,28,5,969.182249937,25.2768,-81.0669,25.2768,-81.0669,1,39,-84.51
link,4,28,5,968.282775781,25.2887,-81.0746,25.2887,-81.0746,1,39,-84.51
link,5,28,5,967.355621125,25.3017,-81.0784,25.3017,-81.0784,1,39,-84.51
link,6,28,5,966.858968817,25.31,-81.0729,25.31,-81.0729,1,39,-84.51
link,7,28,5,966.901684423,25.3117,-81.0598,25.3117,-81.0598,1,39,-84.51
link,8,28,5,967.206443169,25.3094,-81.0475,25.3094,-81.0475,1,39,-84.51
link,9,28,5,967.399010692,25.3074,-81.0428,25.3074,-81.0428,1,39,-84.51
link,10,28,5,968.160676756,25.2967,-81.0398,25.2967,-81.0398,1,39,-84.51
link,11,28,5,968.848331137,25.285,-81.0485,25.285,-81.0485,1,39,-84.51
link,12,28,5,969.263837570,25.2783,-81.0517,25.2783,-81.0517,1,39,-84.51
link,1,44,5,813.224375468,27.3398,-82.5931,27.3398,-82.5931,1,39,-84.51
link,2,44,5,814.310315960,27.3244,-82.5892,27.3244,-82.5892,1,39,-84.51
link,3,44,5,813.330838476,27.3367,-82.6067,27.3367,-82.6067,1,39,-84.51
link,4,44,5,809.947936024,27.3813,-82.649,27.3813,-82.649,1,39,-84.51
link,5,44,5,808.820513709,27.3968,-82.6575,27.3968,-82.6575,1,39,-84.51
link,6,44,5,808.240209144,27.4045,-82.6644,27.4045,-82.6644,1,39,-84.51
link,7,44,5,806.961767398,27.4218,-82.6766,27.4218,-82.6766,1,39,-84.51
link,8,44,5,806.085169975,27.4341,-82.681,27.4341,-82.681,1,39,-84.51
link,9,44,5,806.705803084,27.4269,-82.6642,27.4269,-82.6642,1,39,-84.51
link,10,44,5,807.274752076,27.4197,-82.6543,27.4197,-82.6543,1,39,-84.51
link,11,44,5,810.202393680,27.3797,-82.6301,27.3797,-82.6301,1,39,-84.51
link,12,44,5,813.224375468,27.3398,-82.5931,27.3398,-82.5931,1,39,-84.51
link,1,61,5,745.598960115,29.2164,-90.0238,29.2164,-90.0238,1,39,-84.51
link,2,61,5,745.762607292,29.2164,-90.0306,29.2164,-90.0306,1,39,-84.51
link,3,61,5,744.210918588,29.2385,-90.0243,29.2385,-90.0243,1,39,-84.51
link,4,61,5,742.995510288,29.2491,-90.0017,29.2491,-90.0017,1,39,-84.51
link,5,61,5,741.898814885,29.2569,-89.9766,29.2569,-89.9766,1,39,-84.51
link,6,61,5,740.679057072,29.271,-89.963,29.271,-89.963,1,39,-84.51
link,7,61,5,740.499664666,29.271,-89.9555,29.271,-89.9555,1,39,-84.51
link,8,61,5,741.116660901,29.2641,-89.963,29.2641,-89.963,1,39,-84.51
link,9,61,5,741.368760722,29.2573,-89.9555,29.2573,-89.9555,1,39,-84.51
link,10,61,5,742.635122491,29.2451,-89.9761,29.2451,-89.9761,1,39,-84.51
link,11,61,5,744.453011513,29.2294,-90.0104,29.2294,-90.0104,1,39,-84.51
link,12,61,5,745.598960115,29.2164,-90.0238,29.2164,-90.0238,1,39,-84.51
link,1,64,5,710.057064137,29.4731,-89.1826,29.4731,-89.1826,1,39,-84.51
link,2,64,5,710.755929159,29.4691,-89.2032,29.4691,-89.2032,1,39,-84.51
link,3,64,5,711.122783344,29.4696,-89.2218,29.4696,-89.2218,1,39,-84.51
link,4,64,5,709.696632258,29.4804,-89.1878,29.4804,-89.1878,1,39,-84.51
link,5,64,5,708.805626074,29.4893,-89.173,29.4893,-89.173,1,39,-84.51
link,6,64,5,707.764396889,29.5037,-89.1678,29.5037,-89.1678,1,39,-84.51
